step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
52;0;285464224;52;0;61;61;8.61;0.32;49.52;11.72;9;0;0;214.00;0
52;0;285464225;52;0;61;61;8.91;0.34;49.52;11.72;9;0;0;215.00;0
52;0;285464225;52;0;61;61;9.22;0.36;49.52;11.72;9;0;0;216.00;0
52;0;285464226;52;0;61;61;9.62;0.37;49.52;11.72;9;0;0;217.00;0
52;0;285464226;52;0;61;61;9.97;0.39;49.52;11.72;9;0;0;218.00;0
53;0;285464226;53;1;61;61;9.74;0.38;49.40;11.72;8;0;0;219.00;0
53;0;285464227;53;1;61;61;10.40;0.41;49.40;11.72;8;0;0;220.00;0
53;0;285464228;53;1;61;61;11.05;0.44;49.40;11.72;8;0;0;221.00;0
53;0;285464228;53;1;61;61;11.77;0.46;49.40;11.72;8;0;0;222.00;0
53;0;285464228;53;1;61;61;12.42;0.49;49.40;11.72;8;0;0;223.00;0
54;0;285464229;54;1;61;61;13.10;0.52;49.30;11.72;7;0;0;224.00;0
55;0;285464229;55;2;62;62;11.02;0.43;48.85;11.53;7;0;0;225.00;0
56;0;285464230;56;1;62;62;9.41;0.37;49.71;11.53;6;0;0;226.00;0
56;0;285464230;56;1;62;62;10.13;0.40;49.71;11.53;6;0;0;227.00;0
56;0;285464231;56;1;62;62;10.85;0.43;49.71;11.53;6;0;0;228.00;0
56;0;285464231;56;1;62;62;11.63;0.44;49.71;11.53;6;0;0;229.00;0
56;0;285464232;56;1;62;62;12.39;0.45;49.71;11.53;6;0;0;230.00;0
56;0;285464232;56;1;62;62;12.81;0.47;49.71;11.53;6;0;0;231.00;0
56;0;285464233;56;0;62;62;13.69;0.50;49.71;11.53;6;0;0;232.00;0
56;0;285464233;56;0;62;62;14.68;0.54;49.71;11.53;6;0;0;233.00;0
57;0;285464233;57;0;62;62;15.35;0.56;49.33;11.53;5;0;0;234.00;0
58;0;285464234;58;0;62;62;16.01;0.59;48.93;11.53;4;0;0;235.00;0
58;0;285464234;58;0;62;62;16.92;0.62;48.93;11.53;4;0;0;236.00;0
58;0;285464235;58;0;62;62;17.50;0.65;48.93;11.53;4;0;0;237.00;0
58;0;285464235;58;0;62;62;18.15;0.67;48.93;11.53;4;0;0;238.00;0
58;0;285464235;58;0;62;62;18.98;0.70;48.93;11.53;4;0;0;239.00;0
58;0;285464235;58;3;65;65;11.14;0.41;48.93;11.00;7;0;0;240.00;0
58;0;285464236;58;0;65;65;11.77;0.44;48.93;11.00;7;0;0;241.00;0
58;0;285464237;58;0;65;65;12.38;0.46;48.93;11.00;7;0;0;242.00;0
58;0;285464237;58;0;65;65;12.94;0.48;48.93;11.00;7;0;0;243.00;0
58;0;285464237;58;0;65;65;13.14;0.49;48.93;11.00;7;0;0;244.00;0
58;0;285464238;58;1;66;66;11.51;0.42;48.93;10.85;8;0;0;245.00;0
58;0;285464238;58;1;67;67;10.41;0.38;48.93;10.70;9;0;0;246.00;0
59;0;285464238;59;0;67;67;9.10;0.33;49.07;10.70;8;0;0;247.00;0
59;0;285464239;59;1;67;67;10.02;0.37;49.07;10.70;8;0;0;248.00;0
59;0;285464239;59;1;67;67;10.88;0.40;49.07;10.70;8;0;0;249.00;0
59;0;285464240;59;1;67;67;11.46;0.42;49.07;10.70;8;0;0;250.00;0
59;0;285464240;59;1;67;67;11.95;0.44;49.07;10.70;8;0;0;251.00;0
59;0;285464240;59;1;67;67;12.72;0.47;49.07;10.70;8;0;0;252.00;0
60;0;285464241;60;1;67;67;11.46;0.42;49.40;10.70;7;0;0;253.00;0
61;0;285464241;61;1;67;67;8.79;0.33;49.28;10.70;6;0;0;254.00;0
61;0;285464241;61;0;67;67;9.79;0.37;49.28;10.70;6;0;0;255.00;0
61;0;285464242;61;0;67;67;10.28;0.39;49.28;10.70;6;0;0;256.00;0
61;0;285464242;61;0;67;67;10.32;0.39;49.28;10.70;6;0;0;257.00;0
61;0;285464242;61;1;68;68;9.45;0.37;49.28;10.56;7;0;0;258.00;0
61;0;285464242;61;0;68;68;10.09;0.40;49.28;10.56;7;0;0;259.00;0
61;0;285464243;61;0;68;68;11.06;0.42;49.28;10.56;7;0;0;260.00;0
61;0;285464243;61;0;68;68;11.93;0.45;49.28;10.56;7;0;0;261.00;0
61;0;285464243;61;0;68;68;12.67;0.48;49.28;10.56;7;0;0;262.00;0
61;0;285464244;61;0;68;68;13.49;0.50;49.28;10.56;7;0;0;263.00;0
61;0;285464244;61;1;69;69;12.33;0.46;49.28;10.42;8;0;0;264.00;0
