step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
44;0;285378717;44;2;50;50;9.19;0.33;49.07;14.08;6;0;0;150.00;0
44;0;285378717;44;2;50;50;8.58;0.31;49.07;14.08;6;0;0;151.00;0
44;0;285378718;44;2;50;50;7.74;0.30;49.07;14.08;6;0;0;152.00;0
44;0;285378719;44;2;50;50;7.34;0.28;49.07;14.08;6;0;0;153.00;0
44;0;285378719;44;3;50;50;6.72;0.26;49.07;14.08;6;0;0;154.00;0
44;0;285378719;44;0;50;50;7.81;0.30;49.07;14.08;6;0;0;155.00;0
44;0;285378720;44;0;50;50;8.83;0.34;49.07;14.08;6;0;0;156.00;0
44;0;285378720;44;0;50;50;9.86;0.38;49.07;14.08;6;0;0;157.00;0
44;0;285378720;44;0;50;50;10.82;0.41;49.07;14.08;6;0;0;158.00;0
44;0;285378721;44;1;51;51;10.29;0.39;49.07;13.82;7;0;0;159.00;0
44;0;285378721;44;0;51;51;11.38;0.43;49.07;13.82;7;0;0;160.00;0
44;0;285378721;44;0;51;51;12.10;0.46;49.07;13.82;7;0;0;161.00;0
45;0;285378722;45;0;51;51;12.00;0.43;48.60;13.82;6;0;0;162.00;0
45;0;285378722;45;0;51;51;12.76;0.46;48.60;13.82;6;0;0;163.00;0
45;0;285378723;45;2;53;53;9.99;0.36;48.60;13.34;8;0;0;164.00;0
45;0;285378725;45;0;53;53;10.87;0.39;48.60;13.34;8;0;0;165.00;0
45;0;285378725;45;0;53;53;11.81;0.43;48.60;13.34;8;0;0;166.00;0
45;0;285378726;45;0;53;53;12.84;0.46;48.60;13.34;8;0;0;167.00;0
45;0;285378726;45;0;53;53;13.93;0.50;48.60;13.34;8;0;0;168.00;0
45;0;285378726;45;0;53;53;15.04;0.54;48.60;13.34;8;0;0;169.00;0
45;0;285378726;45;0;53;53;16.20;0.58;48.60;13.34;8;0;0;170.00;0
46;0;285378727;46;0;53;53;16.12;0.58;48.59;13.34;7;0;0;171.00;0
46;0;285378727;46;0;53;53;17.01;0.61;48.59;13.34;7;0;0;172.00;0
46;0;285378727;46;0;53;53;17.47;0.63;48.59;13.34;7;0;0;173.00;0
46;0;285378728;46;0;53;53;17.41;0.63;48.59;13.34;7;0;0;174.00;0
46;0;285378728;46;0;53;53;17.64;0.63;48.59;13.34;7;0;0;175.00;0
47;0;285378728;47;1;54;54;14.27;0.51;49.98;13.11;7;0;0;176.00;0
47;0;285378729;47;0;54;54;14.95;0.54;49.98;13.11;7;0;0;177.00;0
47;0;285378729;47;0;54;54;14.99;0.54;49.98;13.11;7;0;0;178.00;0
47;0;285378730;47;0;54;54;15.34;0.56;49.98;13.11;7;0;0;179.00;0
47;0;285378732;47;1;55;55;13.53;0.49;49.98;12.87;8;0;0;180.00;0
47;0;285378732;47;0;55;55;13.77;0.51;49.98;12.87;8;0;0;181.00;0
47;0;285378733;47;0;55;55;13.90;0.51;49.98;12.87;8;0;0;182.00;0
47;0;285378733;47;1;55;55;14.51;0.54;49.98;12.87;8;0;0;183.00;0
48;0;285378734;48;2;56;56;11.61;0.44;50.56;12.66;8;0;0;184.00;0
48;0;285378735;48;1;56;56;12.46;0.47;50.56;12.66;8;0;0;185.00;0
48;0;285378735;48;1;56;56;13.41;0.51;50.56;12.66;8;0;0;186.00;0
48;0;285378735;48;1;56;56;14.38;0.54;50.56;12.66;8;0;0;187.00;0
48;0;285378736;48;1;56;56;15.25;0.58;50.56;12.66;8;0;0;188.00;0
48;0;285378736;48;1;56;56;16.02;0.61;50.56;12.66;8;0;0;189.00;0
48;0;285378736;48;2;57;57;14.91;0.54;50.56;12.46;9;0;0;190.00;0
48;0;285378737;48;1;57;57;15.66;0.57;50.56;12.46;9;0;0;191.00;0
48;0;285378737;48;1;57;57;16.33;0.60;50.56;12.46;9;0;0;192.00;0
49;0;285378737;49;1;57;57;15.83;0.58;49.88;12.46;8;0;0;193.00;0
50;0;285378738;50;1;57;57;14.65;0.54;50.36;12.46;7;0;0;194.00;0
50;0;285378740;50;1;57;57;15.09;0.56;50.36;12.46;7;0;0;195.00;0
50;0;285378740;50;1;57;57;15.61;0.58;50.36;12.46;7;0;0;196.00;0
51;0;285378741;51;1;57;57;14.80;0.55;50.71;12.46;6;0;0;197.00;0
51;0;285378741;51;1;57;57;15.32;0.57;50.71;12.46;6;0;0;198.00;0
51;0;285378741;51;1;57;57;15.86;0.59;50.71;12.46;6;0;0;199.00;0
51;0;285378742;51;2;58;58;14.27;0.53;50.71;12.24;7;0;0;200.00;0
52;0;285378742;52;1;58;58;11.74;0.42;50.44;12.24;6;0;0;201.00;0
52;0;285378743;52;1;58;58;11.67;0.42;50.44;12.24;6;0;0;202.00;0
52;0;285378743;52;1;58;58;11.48;0.41;50.44;12.24;6;0;0;203.00;0
52;0;285378743;52;1;58;58;10.82;0.39;50.44;12.24;6;0;0;204.00;0
52;0;285378744;52;1;58;58;10.23;0.37;50.44;12.24;6;0;0;205.00;0
53;0;285378744;53;2;59;60;6.73;0.24;49.98;12.05;6;0;0;206.00;1
53;0;285378745;53;2;59;60;6.94;0.25;49.98;12.05;6;0;0;207.00;1
53;0;285378745;53;2;59;60;7.26;0.26;49.98;12.05;6;0;0;208.00;1
53;0;285378745;53;3;60;60;6.55;0.24;49.98;11.92;7;0;0;209.00;0
53;0;285378748;53;2;60;60;6.91;0.25;49.98;11.92;7;0;0;210.00;0
53;0;285378748;53;2;60;60;7.16;0.26;49.98;11.92;7;0;0;211.00;0
53;0;285378749;53;3;61;61;6.05;0.22;49.98;11.74;8;0;0;212.00;0
53;0;285378750;53;2;61;61;6.11;0.23;49.98;11.74;8;0;0;213.00;0
53;0;285378750;53;2;61;61;6.09;0.23;49.98;11.74;8;0;0;214.00;0
53;0;285378750;53;2;61;61;6.08;0.23;49.98;11.74;8;0;0;215.00;0
53;0;285378751;53;2;61;61;6.00;0.23;49.98;11.74;8;0;0;216.00;0
53;0;285378751;53;2;61;61;6.13;0.25;49.98;11.74;8;0;0;217.00;0
53;0;285378751;53;3;61;61;6.61;0.27;49.98;11.74;8;0;0;218.00;0
53;0;285378752;53;3;61;61;7.11;0.29;49.98;11.74;8;0;0;219.00;0
53;0;285378752;53;3;61;61;7.69;0.31;49.98;11.74;8;0;0;220.00;0
53;0;285378753;53;3;61;61;8.14;0.33;49.98;11.74;8;0;0;221.00;0
53;0;285378753;53;3;61;61;8.72;0.35;49.98;11.74;8;0;0;222.00;0
53;0;285378753;53;3;61;61;9.25;0.38;49.98;11.74;8;0;0;223.00;0
53;0;285378753;53;3;61;61;9.79;0.40;49.98;11.74;8;0;0;224.00;0
54;0;285378755;54;4;62;62;7.82;0.31;49.52;11.55;8;0;0;225.00;0
54;0;285378756;54;3;62;62;8.37;0.33;49.52;11.55;8;0;0;226.00;0
54;0;285378757;54;3;62;62;8.86;0.35;49.52;11.55;8;0;0;227.00;0
